cds	logFC	adj.P.Val
UBC_DN2120_c0_g1_i4.p1	14.6638619637535	0.0106443053046735
UBC_DN1098_c0_g2_i2.p1	13.5999235735499	0.000144835219565646
UBC_DN3902_c0_g1_i12.p1	13.5626313461079	0.00110975488066296
UBC_DN2147_c0_g1_i5.p1	13.1644649411042	0.0435010651185526
UBC_DN444_c10_g1_i1.p1	-13.139063549499	0.000424790742897932
UBC_DN436_c0_g1_i6.p1	13.1254058878714	0.000540191428976756
UBC_DN161_c0_g1_i1.p1	13.0720074155762	0.0162644278910611
UBC_DN15_c2_g1_i2.p1	13.0661928915538	0.0332681950300584
UBC_DN1313_c1_g1_i1.p1	13.0601933760595	0.000258449611372443
UBC_DN7139_c0_g1_i2.p1	12.9879692871947	0.00570075186904331
UBC_DN2732_c0_g1_i1.p1	12.8456140121276	0.000354671146229774
UBC_DN10903_c0_g1_i1.p1	-12.8393278573103	0.032744539574135
UBC_DN247_c1_g1_i1.p2	-12.7852436252727	0.000272754290924864
UBC_DN5184_c0_g2_i1.p1	12.7493671718492	0.00370591162832175
UBC_DN136_c34_g1_i1.p1	12.7268925213661	0.00102796238817011
UBC_DN663_c0_g1_i2.p1	12.6818892079664	0.00103512300278437
UBC_DN2089_c0_g1_i1.p1	12.6256936910782	0.000482471247006563
UBC_DN325_c1_g2_i1.p1	12.5071798713885	0.00098612287380178
UBC_DN1327_c0_g2_i11.p1	12.4665279995774	0.00689924990883959
UBC_DN2193_c0_g1_i1.p1	12.3655447644912	0.000636656163945858
UBC_DN3337_c0_g1_i2.p1	-12.3369946866667	0.000213087724721814
UBC_DN2193_c0_g1_i3.p1	-12.2885263324397	0.000481657204854232
UBC_DN2900_c0_g1_i11.p1	12.2560931589542	0.00242325540138172
UBC_DN2511_c0_g1_i2.p2	12.2235044257955	0.00157506264773261
UBC_DN6942_c0_g2_i1.p1	12.2215339242081	0.000142709576060098
UBC_DN258_c6_g1_i1.p1	12.1998404321298	0.000569330403867222
UBC_DN6942_c0_g2_i2.p1	-12.1955194200627	0.00132746287951908
UBC_DN10902_c0_g1_i4.p1	12.1548209131595	0.00028529585261429
UBC_DN7600_c0_g1_i2.p2	12.1355899498168	0.0256975332380407
UBC_DN1239_c0_g2_i13.p1	-12.1226410135102	0.000204598214884087
UBC_DN7139_c0_g1_i10.p1	12.0564623560427	0.012878508824669
UBC_DN10902_c0_g1_i3.p1	-12.0387743457324	0.00030315825445717
UBC_DN1755_c0_g2_i1.p1	11.9770225611877	0.00043173204730907
UBC_DN2511_c0_g1_i2.p1	11.9610866693901	0.00175594710600221
UBC_DN792_c0_g1_i3.p1	11.9516491392781	0.0475782123325135
UBC_DN4570_c0_g1_i2.p1	-11.9053920855656	0.00181903672396463
UBC_DN5786_c0_g1_i4.p1	11.8930323542514	0.00432834854769399
UBC_DN3254_c0_g1_i4.p1	-11.8570627896927	0.00518368052508731
UBC_DN2186_c1_g1_i3.p1	11.8548091842006	0.0204916481012379
UBC_DN3434_c0_g1_i12.p1	11.8388640128835	0.0159255954840897
UBC_DN8428_c0_g1_i4.p1	11.7861239225664	0.00520209480153078
UBC_DN6416_c0_g1_i4.p1	-11.7782020713786	0.000263576484492739
UBC_DN2559_c0_g2_i3.p1	11.7730429087314	0.000704786298334021
UBC_DN191_c0_g1_i7.p1	-11.7439978102998	0.0081709288411892
UBC_DN4493_c0_g1_i1.p1	11.7410681450246	0.00077183105720745
UBC_DN1098_c0_g2_i4.p1	-11.7061245508594	0.0274246032779992
UBC_DN5057_c0_g1_i9.p1	11.6999227141349	0.00640421509699758
UBC_DN648_c0_g1_i7.p1	11.6351499989644	0.00123073512449682
UBC_DN600_c0_g1_i2.p1	11.6334068993334	0.00164266439420438
UBC_DN7432_c0_g1_i2.p1	11.5891804016699	0.00167484917320932
UBC_DN1195_c1_g2_i3.p1	11.5593007800677	0.0137140213221762
UBC_DN2989_c1_g1_i3.p1	-11.5258444245986	0.00738419805772478
UBC_DN4485_c0_g1_i3.p1	11.5101406440471	0.0303129604754095
UBC_DN596_c1_g1_i1.p1	11.4882193160812	0.00482374039033596
UBC_DN4236_c0_g1_i10.p1	11.4615235076014	0.00976298240959683
UBC_DN2336_c0_g1_i29.p1	11.454115914596	0.000299810561327109
UBC_DN3337_c0_g1_i1.p1	11.4402216672335	0.000373273679141096
UBC_DN2660_c0_g1_i15.p1	11.420591314812	0.00198130326355405
UBC_DN5305_c2_g1_i1.p1	-11.4000764628542	0.00204052148820265
UBC_DN436_c0_g1_i1.p1	-11.3890873566257	0.00113144602767338
UBC_DN3254_c0_g1_i1.p1	11.3396378210318	0.000208220188489282
UBC_DN3787_c0_g1_i1.p1	11.3374912324383	0.00185036428749314
UBC_DN1098_c0_g2_i1.p1	-11.3217187761731	0.0112840397742801
UBC_DN2864_c0_g1_i1.p1	-11.2918411876146	0.00158481012165607
UBC_DN1200_c0_g1_i8.p1	-11.2641385170365	0.000360092521477188
UBC_DN3216_c0_g1_i36.p1	11.2509358218456	0.0091258898248447
UBC_DN3710_c0_g1_i11.p1	11.243154226456	0.000412706404136747
UBC_DN221326_c0_g1_i3.p1	11.2353849988586	0.000698711910114367
UBC_DN8715_c0_g1_i1.p1	11.2280496163276	0.000183386097004662
UBC_DN1826_c0_g1_i12.p1	11.2103491505718	0.000723195834749923
UBC_DN3667_c0_g2_i15.p1	11.2020977104376	0.00581734897560234
UBC_DN2888_c0_g1_i1.p1	11.1995824994204	0.00185876711092803
UBC_DN5767_c0_g1_i25.p1	11.1912092619673	0.000571832166727147
UBC_DN2325_c0_g1_i4.p1	11.1792555897377	0.000497979435304694
UBC_DN16697_c0_g1_i3.p1	-11.1631487688643	0.000506166191117219
UBC_DN3320_c0_g1_i2.p1	-11.125914335546	0.000383313597528217
UBC_DN3142_c0_g1_i1.p1	11.1257177717518	0.000262275768884685
UBC_DN4744_c5_g1_i6.p1	-11.0993519539386	0.00309872206752472
UBC_DN74_c0_g1_i1.p1	11.0835570517668	0.000934566168346025
UBC_DN161_c0_g1_i4.p1	11.0732265486724	0.0432634737106397
UBC_DN31831_c0_g3_i7.p1	11.0561105162217	0.00869610212578941
UBC_DN3782_c0_g1_i17.p1	-11.0345217463082	0.0158962660540409
UBC_DN876_c0_g1_i1.p1	-11.0343223638791	0.00497265546517232
UBC_DN110836_c0_g1_i1.p1	11.0304476829487	0.000348715928205962
UBC_DN2291_c0_g2_i1.p1	11.0203704299174	0.000831793278832638
UBC_DN2758_c1_g1_i1.p1	-10.999762399523	0.000797719432628373
UBC_DN36677_c0_g1_i1.p1	-10.9971380495845	0.000632661527510674
UBC_DN1442_c0_g1_i10.p1	10.9860065361378	0.0057039825690997
UBC_DN5400_c0_g1_i3.p1	10.9696692273014	0.000373760593946046
UBC_DN36677_c0_g1_i3.p1	10.9386469059173	0.0109826947317166
UBC_DN5954_c0_g2_i1.p1	10.9197742304008	0.0102771991847323
UBC_DN3434_c0_g3_i1.p1	10.9195068654169	0.000286392788067976
UBC_DN8614_c0_g1_i2.p1	10.9188569313558	0.00867521627456049
UBC_DN79809_c0_g1_i4.p1	10.9113624856113	0.00100513709606748
UBC_DN1098_c0_g2_i8.p1	-10.9088553276424	0.0137313437044064
UBC_DN3483_c0_g3_i1.p1	10.9021956699062	0.000530337129620866
UBC_DN5129_c1_g1_i8.p1	10.8964353677565	0.0006070865926807
UBC_DN561_c0_g1_i1.p1	-10.8956091011921	0.019874321777087
UBC_DN1153_c1_g1_i7.p1	10.8893898945869	0.00124802980870214
UBC_DN5210_c0_g1_i2.p1	10.8883739791122	0.00126451589611384
UBC_DN8267_c0_g2_i1.p1	-10.8877538633728	0.000331916936738328
UBC_DN3787_c0_g2_i1.p1	-10.8806290032426	0.0193335038117191
UBC_DN151_c83_g1_i1.p1	10.8593243318074	0.000154629574089525
UBC_DN2066_c0_g1_i7.p1	10.8501781497795	0.000431658620564073
UBC_DN1954_c1_g1_i5.p1	10.8301913903189	0.000596832879522518
UBC_DN39228_c0_g1_i1.p1	10.819461933403	0.0286917081902146
UBC_DN4570_c0_g1_i9.p1	10.8155541493268	0.00689853762991283
UBC_DN3340_c1_g2_i1.p1	-10.8144920408622	0.000461135958923905
UBC_DN5129_c1_g2_i2.p1	10.7991239258596	0.00164971773782002
UBC_DN736_c0_g1_i2.p1	-10.7825033778472	5.08668793218527e-06
UBC_DN5944_c0_g1_i24.p2	10.7745568129265	0.011676750661214
UBC_DN1772_c0_g1_i2.p1	10.7647976975402	0.000376609795490309
UBC_DN4811_c0_g1_i3.p1	10.7619353810092	0.000866189151897235
UBC_DN3106_c0_g2_i2.p1	10.748835068273	0.00188098827277312
UBC_DN5288_c0_g1_i6.p1	10.7380312383378	0.000861961005285658
UBC_DN11567_c0_g1_i1.p1	-10.7375249532516	0.00342455959468463
UBC_DN2351_c0_g1_i19.p1	-10.7363360681642	0.00421482544483965
UBC_DN5804_c0_g1_i3.p1	10.7354228618918	0.00035124590439143
UBC_DN4811_c0_g1_i6.p1	-10.7275191431571	0.000477818835016742
UBC_DN505_c2_g1_i1.p1	-10.724952401982	2.30891696997795e-05
UBC_DN3840_c0_g1_i4.p1	10.7051320779694	0.00356862182570311
UBC_DN2351_c0_g1_i10.p1	-10.6971289502364	0.00494094252394835
UBC_DN1042_c0_g1_i1.p1	10.6920643698305	0.00132746287951908
UBC_DN31831_c0_g3_i2.p1	-10.6866793207884	0.00524344872593114
UBC_DN3289_c0_g1_i29.p1	10.6761954265034	0.000829438499629622
UBC_DN3263_c0_g1_i1.p1	10.6732482181323	0.000263576484492739
UBC_DN2351_c0_g1_i12.p1	-10.672606553033	0.00448084621580252
UBC_DN14174_c0_g1_i1.p1	-10.6715981704429	0.00538450963032297
UBC_DN2686_c0_g1_i12.p1	-10.6626021782436	0.000558422560541512
UBC_DN1920_c0_g2_i2.p1	-10.6584282837758	0.00406938510215436
UBC_DN4462_c0_g1_i1.p1	10.6490661226127	0.00328937806330462
UBC_DN3518_c1_g1_i1.p2	10.648131720614	0.00598629563412502
UBC_DN2993_c0_g1_i1.p1	10.6441681132074	0.0271050405973594
UBC_DN3237_c0_g1_i33.p1	-10.6213933812844	0.0157616677187188
UBC_DN5944_c0_g1_i1.p1	10.6184602749416	0.00772711464200348
UBC_DN29293_c0_g5_i1.p1	10.5951323118006	0.028777856939753
UBC_DN1821_c1_g2_i1.p1	10.5911799265827	0.00104048003310798
UBC_DN12351_c0_g1_i1.p1	-10.5888140202527	0.00450083234787032
